station,wm,b,im,ke,fc,iwu,igw,hmaxaq,gwc,gwe,under,leaki,th,isu,alpha,beta,alpha0,source_station,source_dist_km
01011000,2.837115,2.666435,2.881987,0.990192,1.265056,25.0,10.0,99.999992,1.506167,9.796978,0.385621,2.43601,1967.30127,0.0,2.710985,2.079512,2.936151,01011000,0.0
01013500,2.837115,2.666435,2.881987,0.990192,1.265056,25.0,10.0,99.999992,1.506167,9.796978,0.385621,2.43601,1967.30127,0.0,2.710985,2.079512,2.936151,01011000,41.95079296909935
01015800,2.998592,2.832734,2.992664,0.913754,2.832446,25.0,10.0,99.999992,1.873991,9.82113,0.189348,1.911999,1678.808472,0.0,2.993166,2.490534,2.999995,01015800,0.0
01016500,2.998592,2.832734,2.992664,0.913754,2.832446,25.0,10.0,99.999992,1.873991,9.82113,0.189348,1.911999,1678.808472,0.0,2.993166,2.490534,2.999995,01015800,12.661995231776682
01017000,2.995551,2.89066,2.585571,1.037583,2.056281,25.0,10.0,99.999992,0.043065,2.503849,0.23018,2.487965,3214.718018,0.0,1.471292,2.448347,2.999994,01017000,0.0
01017060,2.813944,1.934001,2.999589,0.900097,1.618471,25.0,10.0,100.0,1.291146,0.646054,0.25846,2.170475,5250.555664,0.0,1.910373,1.751828,1.30636,01017290,12.149123463780217
01017290,2.813944,1.934001,2.999589,0.900097,1.618471,25.0,10.0,100.0,1.291146,0.646054,0.25846,2.170475,5250.555664,0.0,1.910373,1.751828,1.30636,01017290,0.0
01017550,2.995551,2.89066,2.585571,1.037583,2.056281,25.0,10.0,99.999992,0.043065,2.503849,0.23018,2.487965,3214.718018,0.0,1.471292,2.448347,2.999994,01017000,22.752999046691937
01017960,2.950289,2.978478,0.849666,0.906497,1.688336,25.0,10.0,100.0,0.011849,1.040897,0.376508,2.828613,10.259434,0.0,2.998837,1.953637,0.0,01017960,0.0
01018000,2.950289,2.978478,0.849666,0.906497,1.688336,25.0,10.0,100.0,0.011849,1.040897,0.376508,2.828613,10.259434,0.0,2.998837,1.953637,0.0,01017960,1.1378177067864224
01018009,2.950289,2.978478,0.849666,0.906497,1.688336,25.0,10.0,100.0,0.011849,1.040897,0.376508,2.828613,10.259434,0.0,2.998837,1.953637,0.0,01017960,3.368890141787761
01019000,2.040142,2.639721,2.999786,0.900446,2.041397,25.0,10.0,100.0,1.702377,9.679832,0.24605,2.451402,10444.841797,0.0,0.608492,2.864523,2.998852,01019000,0.0
01021200,2.040142,2.639721,2.999786,0.900446,2.041397,25.0,10.0,100.0,1.702377,9.679832,0.24605,2.451402,10444.841797,0.0,0.608492,2.864523,2.998852,01019000,50.846217527567276
01021470,0.000192,2.155654,2.999316,0.906971,2.838296,25.0,10.0,100.0,0.3331,8.549457,0.207231,1.395265,10.888533,0.0,2.94594,1.467216,0.0,01022500,27.128863734726195
