Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2024-01-02 00:00,0.00,54.62,0.00,0.04,25.00,0.0000,0.0000
2024-01-03 00:00,0.00,50.37,0.00,0.02,25.00,0.0000,0.0000
2024-01-04 00:00,0.00,47.26,0.01,0.03,25.01,0.0000,0.0004
2024-01-05 00:00,0.00,44.43,0.00,0.03,24.92,0.0000,0.0000
2024-01-06 00:00,1.39,43.58,0.87,0.03,36.82,0.0001,0.0685
2024-01-07 00:00,3.66,73.01,0.01,0.02,36.83,0.0000,0.0006
2024-01-08 00:00,3.44,83.20,0.00,0.05,36.57,0.0000,0.0000
2024-01-09 00:00,68.07,291.49,3.58,0.02,70.18,0.0005,0.5222
2024-01-10 00:00,51.80,662.22,0.03,0.04,70.10,0.0000,0.0038
2024-01-11 00:00,36.22,438.65,0.00,0.05,69.65,0.0000,0.0000
2024-01-12 00:00,34.27,342.43,0.59,0.02,72.95,0.0001,0.1129
2024-01-13 00:00,24.44,267.43,0.00,0.04,72.56,0.0000,0.0000
2024-01-14 00:00,17.30,191.31,0.00,0.04,72.10,0.0000,0.0000
2024-01-15 00:00,60.00,141.78,0.45,0.02,75.22,0.0001,0.0791
2024-01-16 00:00,66.16,132.44,0.15,0.03,76.02,0.0000,0.0260
2024-01-17 00:00,45.64,114.61,0.00,0.03,75.70,0.0000,0.0000
2024-01-18 00:00,32.27,99.90,0.00,0.04,75.34,0.0000,0.0002
2024-01-19 00:00,39.87,93.67,0.14,0.04,75.90,0.0000,0.0244
2024-01-20 00:00,30.29,85.47,0.01,0.02,75.73,0.0000,0.0014
2024-01-21 00:00,21.43,73.86,0.00,0.03,75.39,0.0000,0.0000
2024-01-22 00:00,15.21,79.24,0.00,0.04,74.92,0.0000,0.0000
2024-01-23 00:00,10.86,75.28,0.03,0.03,74.90,0.0000,0.0040
2024-01-24 00:00,7.78,75.28,0.08,0.02,75.09,0.0000,0.0177
2024-01-25 00:00,48.50,90.84,1.38,0.01,81.76,0.0002,0.2876
2024-01-26 00:00,38.45,250.17,0.09,0.05,81.95,0.0000,0.0128
2024-01-27 00:00,34.82,237.15,0.46,0.00,83.67,0.0001,0.1043
2024-01-28 00:00,39.96,251.59,0.53,0.02,85.44,0.0001,0.1181
2024-01-29 00:00,29.55,253.57,0.03,0.04,85.16,0.0000,0.0058
2024-01-30 00:00,22.12,216.78,0.02,0.04,84.84,0.0000,0.0014
2024-01-31 00:00,51.52,204.33,0.28,0.05,85.73,0.0000,0.0552
2024-02-01 00:00,36.92,168.67,0.00,0.05,85.14,0.0000,0.0000
2024-02-02 00:00,25.93,141.22,0.00,0.07,84.28,0.0000,0.0000
2024-02-03 00:00,18.38,124.80,0.00,0.06,83.57,0.0000,0.0000
2024-02-04 00:00,13.10,112.63,0.00,0.04,83.04,0.0000,0.0000
2024-02-05 00:00,9.37,103.86,0.00,0.08,82.08,0.0000,0.0000
2024-02-06 00:00,6.73,96.50,0.00,0.06,81.43,0.0000,0.0000
2024-02-07 00:00,4.85,90.56,0.00,0.06,80.83,0.0000,0.0000
2024-02-08 00:00,3.52,84.90,0.00,0.04,80.33,0.0000,0.0000
2024-02-09 00:00,23.13,81.50,0.16,0.04,80.79,0.0000,0.0310
2024-02-10 00:00,57.13,86.88,0.15,0.05,81.07,0.0000,0.0293
2024-02-11 00:00,109.60,155.08,0.80,0.04,84.25,0.0001,0.1703
2024-02-12 00:00,86.64,166.69,0.34,0.02,85.39,0.0000,0.0748
2024-02-13 00:00,88.91,160.18,0.36,0.08,86.41,0.0000,0.0717
2024-02-14 00:00,61.13,171.50,0.00,0.08,85.48,0.0000,0.0000
2024-02-15 00:00,42.90,139.24,0.00,0.09,84.42,0.0000,0.0000
2024-02-16 00:00,30.34,116.31,0.00,0.04,83.90,0.0000,0.0000
2024-02-17 00:00,34.94,105.28,0.10,0.05,83.92,0.0000,0.0185
2024-02-18 00:00,25.14,97.35,0.00,0.07,83.11,0.0000,0.0000
2024-02-19 00:00,17.78,90.28,0.00,0.08,82.19,0.0000,0.0000
2024-02-20 00:00,12.65,85.18,0.00,0.07,81.32,0.0000,0.0000
2024-02-21 00:00,9.05,80.37,0.00,0.08,80.44,0.0000,0.0000
