Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2024-01-02 00:00,0.00,54.62,0.00,0.04,74.39,0.0000,0.0000
2024-01-03 00:00,0.00,50.37,0.00,0.02,74.36,0.0000,0.0000
2024-01-04 00:00,0.34,47.26,0.01,0.03,74.24,0.0004,0.0008
2024-01-05 00:00,0.42,44.43,0.00,0.03,73.93,0.0000,0.0000
2024-01-06 00:00,9.58,43.58,0.87,0.03,76.55,0.0986,0.0930
2024-01-07 00:00,9.01,73.01,0.01,0.02,76.38,0.0003,0.0010
2024-01-08 00:00,6.12,83.20,0.00,0.05,75.81,0.0000,0.0000
2024-01-09 00:00,130.64,291.49,3.58,0.02,82.91,0.4171,0.4385
2024-01-10 00:00,59.37,662.22,0.03,0.04,82.68,0.0008,0.0037
2024-01-11 00:00,36.56,438.65,0.00,0.05,82.15,0.0000,0.0000
2024-01-12 00:00,38.45,342.43,0.59,0.02,82.98,0.0673,0.0742
2024-01-13 00:00,30.26,267.43,0.00,0.04,82.58,0.0000,0.0000
2024-01-14 00:00,24.81,191.31,0.00,0.04,82.09,0.0000,0.0000
2024-01-15 00:00,95.09,141.78,0.45,0.02,82.88,0.0316,0.0742
2024-01-16 00:00,80.00,132.44,0.15,0.03,83.15,0.0083,0.0231
2024-01-17 00:00,46.19,114.61,0.00,0.03,82.80,0.0000,0.0000
2024-01-18 00:00,34.67,99.90,0.00,0.04,82.39,0.0000,0.0002
2024-01-19 00:00,48.56,93.67,0.14,0.04,82.44,0.0071,0.0221
2024-01-20 00:00,36.86,85.47,0.01,0.02,82.24,0.0002,0.0013
2024-01-21 00:00,28.76,73.86,0.00,0.03,81.86,0.0000,0.0000
2024-01-22 00:00,24.16,79.24,0.00,0.04,81.35,0.0000,0.0000
2024-01-23 00:00,20.88,75.28,0.03,0.03,81.22,0.0018,0.0025
2024-01-24 00:00,18.19,75.28,0.08,0.02,81.13,0.0087,0.0113
2024-01-25 00:00,68.01,90.84,1.38,0.01,83.28,0.1511,0.1885
2024-01-26 00:00,39.45,250.17,0.09,0.05,83.29,0.0045,0.0065
2024-01-27 00:00,36.40,237.15,0.46,0.00,83.84,0.0553,0.0619
2024-01-28 00:00,44.31,251.59,0.53,0.02,84.41,0.0618,0.0684
2024-01-29 00:00,31.15,253.57,0.03,0.04,84.11,0.0019,0.0041
2024-01-30 00:00,24.74,216.78,0.02,0.04,83.72,0.0002,0.0009
2024-01-31 00:00,58.21,204.33,0.28,0.05,84.04,0.0167,0.0421
2024-02-01 00:00,36.22,168.67,0.00,0.05,83.38,0.0000,0.0000
2024-02-02 00:00,26.41,141.22,0.00,0.07,82.45,0.0000,0.0000
2024-02-03 00:00,21.82,124.80,0.00,0.06,81.73,0.0000,0.0000
2024-02-04 00:00,18.78,112.63,0.00,0.04,81.24,0.0000,0.0000
2024-02-05 00:00,16.34,103.86,0.00,0.08,80.29,0.0000,0.0000
2024-02-06 00:00,14.27,96.50,0.00,0.06,79.58,0.0000,0.0000
2024-02-07 00:00,12.47,90.56,0.00,0.06,78.86,0.0000,0.0000
2024-02-08 00:00,10.90,84.90,0.00,0.04,78.37,0.0000,0.0000
2024-02-09 00:00,31.42,81.50,0.16,0.04,78.55,0.0094,0.0236
2024-02-10 00:00,69.83,86.88,0.15,0.05,78.58,0.0090,0.0222
2024-02-11 00:00,111.75,155.08,0.80,0.04,80.01,0.0723,0.1133
2024-02-12 00:00,65.31,166.69,0.34,0.02,80.54,0.0365,0.0428
2024-02-13 00:00,68.70,160.18,0.36,0.08,81.02,0.0270,0.0439
2024-02-14 00:00,43.87,171.50,0.00,0.08,80.05,0.0000,0.0000
2024-02-15 00:00,33.75,139.24,0.00,0.09,79.02,0.0000,0.0000
2024-02-16 00:00,28.49,116.31,0.00,0.04,78.54,0.0000,0.0000
2024-02-17 00:00,35.02,105.28,0.10,0.05,78.49,0.0036,0.0141
2024-02-18 00:00,27.82,97.35,0.00,0.07,77.68,0.0000,0.0000
2024-02-19 00:00,22.74,90.28,0.00,0.08,76.78,0.0000,0.0000
2024-02-20 00:00,19.42,85.18,0.00,0.07,75.86,0.0000,0.0000
2024-02-21 00:00,16.86,80.37,0.00,0.08,75.02,0.0000,0.0000
2024-02-22 00:00,14.70,76.41,0.00,0.08,74.23,0.0000,0.0000
2024-02-23 00:00,38.81,80.94,0.41,0.07,75.03,0.0276,0.0498
2024-02-24 00:00,28.01,88.58,0.06,0.06,74.74,0.0014,0.0059
2024-02-25 00:00,20.45,83.49,0.00,0.09,73.78,0.0000,0.0000
2024-02-26 00:00,17.06,77.54,0.06,0.11,73.10,0.0018,0.0051
2024-02-27 00:00,14.65,73.86,0.03,0.04,72.90,0.0017,0.0030
2024-02-28 00:00,34.42,73.01,0.36,0.05,73.67,0.0270,0.0446
2024-02-29 00:00,23.19,83.49,0.00,0.07,72.93,0.0000,0.0000
2024-03-01 00:00,48.00,79.81,1.20,0.01,75.53,0.1458,0.1382
2024-03-02 00:00,29.89,165.27,0.05,0.09,75.06,0.0005,0.0011
2024-03-03 00:00,21.11,176.88,0.00,0.10,73.86,0.0000,0.0000
2024-03-04 00:00,17.07,132.73,0.00,0.11,72.73,0.0002,0.0001
2024-03-05 00:00,14.58,111.50,0.00,0.08,71.88,0.0000,0.0000
2024-03-06 00:00,101.68,125.09,1.32,0.00,75.02,0.1362,0.1758
2024-03-07 00:00,50.68,258.10,0.04,0.11,74.23,0.0000,0.0002
2024-03-08 00:00,34.00,198.95,0.09,0.03,74.33,0.0057,0.0086
2024-03-09 00:00,73.00,187.35,1.01,0.03,76.25,0.1071,0.1308
2024-03-10 00:00,48.67,271.40,0.05,0.10,75.53,0.0007,0.0044
2024-03-11 00:00,35.13,221.87,0.00,0.12,74.25,0.0000,0.0000
2024-03-12 00:00,28.74,161.59,0.00,0.12,72.93,0.0000,0.0000
2024-03-13 00:00,24.66,132.16,0.00,0.13,71.47,0.0000,0.0000
2024-03-14 00:00,21.44,115.46,0.00,0.14,69.94,0.0000,0.0000
2024-03-15 00:00,69.41,113.48,0.71,0.04,71.64,0.0730,0.0853
2024-03-16 00:00,40.05,133.86,0.04,0.13,70.66,0.0003,0.0010
2024-03-17 00:00,28.06,119.99,0.00,0.07,69.99,0.0000,0.0000
2024-03-18 00:00,22.88,104.14,0.00,0.11,68.87,0.0000,0.0000
2024-03-19 00:00,19.63,95.09,0.00,0.12,67.62,0.0000,0.0000
2024-03-20 00:00,17.06,88.58,0.00,0.14,66.29,0.0000,0.0000
2024-03-21 00:00,14.89,84.05,0.00,0.13,65.00,0.0000,0.0000
2024-03-22 00:00,13.01,79.52,0.21,0.09,65.10,0.0187,0.0134
2024-03-23 00:00,39.04,90.56,0.73,0.04,67.11,0.0809,0.0754
2024-03-24 00:00,24.31,127.35,0.00,0.12,65.92,0.0000,0.0000
2024-03-25 00:00,17.32,103.58,0.00,0.12,64.67,0.0000,0.0000
2024-03-26 00:00,19.09,90.84,0.45,0.05,65.80,0.0462,0.0439
2024-03-27 00:00,14.63,98.20,0.02,0.12,64.81,0.0007,0.0001
2024-03-28 00:00,11.88,113.20,0.00,0.13,63.59,0.0000,0.0000
2024-03-29 00:00,10.11,100.46,0.00,0.15,62.14,0.0000,0.0000
2024-03-30 00:00,8.76,90.28,0.00,0.17,60.57,0.0000,0.0000
2024-03-31 00:00,7.65,85.18,0.00,0.17,59.10,0.0000,0.0000
2024-04-01 00:00,6.68,81.22,0.00,0.14,57.82,0.0000,0.0000
2024-04-02 00:00,5.85,78.39,0.00,0.19,56.26,0.0000,0.0000
2024-04-03 00:00,41.19,86.03,0.56,0.11,58.35,0.0407,0.0505
2024-04-04 00:00,26.13,93.67,0.05,0.09,58.05,0.0012,0.0033
2024-04-05 00:00,16.68,89.43,0.02,0.09,57.52,0.0001,0.0008
2024-04-06 00:00,12.42,80.37,0.00,0.13,56.42,0.0000,0.0000
2024-04-07 00:00,10.17,75.84,0.00,0.14,55.21,0.0000,0.0000
2024-04-08 00:00,9.03,72.73,0.04,0.16,54.35,0.0002,0.0011
2024-04-09 00:00,27.86,74.15,0.54,0.02,56.52,0.0580,0.0507
2024-04-10 00:00,17.92,86.88,0.19,0.10,56.87,0.0107,0.0111
2024-04-11 00:00,60.68,91.97,0.90,0.10,59.85,0.0823,0.0875
2024-04-12 00:00,42.66,184.52,0.25,0.14,60.24,0.0088,0.0210
2024-04-13 00:00,25.87,184.52,0.04,0.17,59.16,0.0003,0.0007
2024-04-14 00:00,19.08,139.24,0.00,0.20,57.38,0.0000,0.0000
2024-04-15 00:00,15.74,114.61,0.05,0.21,55.92,0.0018,0.0016
2024-04-16 00:00,13.51,102.73,0.01,0.17,54.60,0.0006,0.0002
2024-04-17 00:00,11.75,94.81,0.03,0.12,53.84,0.0001,0.0002
2024-04-18 00:00,10.26,88.01,0.00,0.20,52.28,0.0000,0.0000
2024-04-19 00:00,9.33,82.64,0.17,0.16,52.18,0.0049,0.0020
2024-04-20 00:00,11.42,82.35,0.04,0.08,51.86,0.0010,0.0027
2024-04-21 00:00,17.86,79.52,0.50,0.06,53.71,0.0491,0.0405
2024-04-22 00:00,13.08,82.92,0.00,0.16,52.44,0.0000,0.0000
2024-04-23 00:00,9.71,77.82,0.00,0.18,51.01,0.0000,0.0000
2024-04-24 00:00,8.23,72.17,0.03,0.11,50.47,0.0001,0.0007
2024-04-25 00:00,7.05,69.05,0.00,0.19,49.10,0.0000,0.0000
2024-04-26 00:00,6.39,65.94,0.13,0.03,49.59,0.0115,0.0091
2024-04-27 00:00,5.65,65.66,0.00,0.16,48.46,0.0000,0.0000
2024-04-28 00:00,4.90,63.96,0.00,0.18,47.09,0.0000,0.0000
2024-04-29 00:00,4.25,61.69,0.00,0.21,45.67,0.0000,0.0000
2024-04-30 00:00,7.67,60.28,0.32,0.11,46.56,0.0285,0.0144
2024-05-01 00:00,6.37,63.11,0.03,0.20,45.37,0.0002,0.0008
2024-05-02 00:00,4.89,66.79,0.00,0.22,43.92,0.0000,0.0000
2024-05-03 00:00,6.41,58.58,0.02,0.09,43.47,0.0006,0.0006
2024-05-04 00:00,7.81,57.73,0.55,0.07,45.71,0.0612,0.0335
2024-05-05 00:00,7.29,74.43,0.37,0.19,46.33,0.0270,0.0162
2024-05-06 00:00,34.60,80.94,0.55,0.11,48.60,0.0411,0.0421
2024-05-07 00:00,73.88,153.39,0.61,0.19,50.80,0.0341,0.0483
2024-05-08 00:00,71.05,136.41,0.61,0.20,52.57,0.0396,0.0467
2024-05-09 00:00,141.22,489.59,1.76,0.14,58.25,0.1745,0.1731
2024-05-10 00:00,67.10,359.41,0.09,0.17,57.41,0.0020,0.0076
2024-05-11 00:00,43.53,220.17,0.00,0.17,56.03,0.0000,0.0000
2024-05-12 00:00,34.89,139.80,0.00,0.20,54.33,0.0000,0.0000
2024-05-13 00:00,29.87,109.24,0.01,0.10,53.59,0.0000,0.0001
